source_file,segment_file,start_measure,end_measure,measures,start_time_seconds,end_time_seconds,random_seed
007.mid,007_segment_01.mid,7,14,8,5.294100,12.352900,42
007.mid,007_segment_02.mid,54,61,8,46.764550,53.823350,42
026.mid,026_segment_01.mid,15,22,8,10.500000,16.500000,42
026.mid,026_segment_02.mid,199,206,8,148.500000,154.500000,42
028.mid,028_segment_01.mid,81,88,8,77.419360,85.161296,42
028.mid,028_segment_02.mid,221,228,8,212.903240,220.645176,42
031.mid,031_segment_01.mid,34,41,8,15.967743,19.838711,42
031.mid,031_segment_02.mid,149,156,8,71.612908,75.483876,42
033.mid,033_segment_01.mid,1,8,8,0.000000,7.058816,42
033.mid,033_segment_02.mid,253,260,8,222.352704,229.411520,42
045.mid,045_segment_01.mid,76,83,8,75.000000,83.000000,42
045.mid,045_segment_02.mid,159,166,8,158.000000,166.000000,42
047.mid,047_segment_01.mid,166,173,8,154.687500,162.187500,42
047.mid,047_segment_02.mid,203,210,8,189.375000,196.875000,42
072.mid,072_segment_01.mid,24,31,8,17.468362,23.544314,42
072.mid,072_segment_02.mid,44,51,8,32.658242,38.734194,42
074.mid,074_segment_01.mid,71,78,8,57.534190,64.109526,42
074.mid,074_segment_02.mid,105,112,8,85.479368,92.054704,42
081.mid,081_segment_01.mid,157,164,8,156.347793,164.347793,42
081.mid,081_segment_02.mid,158,165,8,157.347793,165.347793,42
082.mid,082_segment_01.mid,164,171,8,165.762524,173.898108,42
082.mid,082_segment_02.mid,205,212,8,207.457392,215.592976,42
090.mid,090_segment_01.mid,77,84,8,63.333308,69.999972,42
090.mid,090_segment_02.mid,250,257,8,207.499917,214.166581,42
095.mid,095_segment_01.mid,134,141,8,117.352816,124.411632,42
095.mid,095_segment_02.mid,214,221,8,187.940976,194.999792,42
096.mid,096_segment_01.mid,48,55,8,24.201757,28.321205,42
096.mid,096_segment_02.mid,102,109,8,52.008031,56.127479,42
100.mid,100_segment_01.mid,221,228,8,212.903240,220.645176,42
100.mid,100_segment_02.mid,244,251,8,235.161306,242.903242,42
104.mid,104_segment_01.mid,32,39,8,30.293138,38.110722,42
104.mid,104_segment_02.mid,49,56,8,46.905504,54.723088,42
105.mid,105_segment_01.mid,133,140,8,84.255204,89.361580,42
105.mid,105_segment_02.mid,211,218,8,134.042370,139.148746,42
115.mid,115_segment_01.mid,39,46,8,28.500000,34.500000,42
115.mid,115_segment_02.mid,280,287,8,209.250000,215.250000,42
128.mid,128_segment_01.mid,71,78,8,68.852350,76.721190,42
128.mid,128_segment_02.mid,92,99,8,89.508055,97.376895,42
143.mid,143_segment_01.mid,12,19,8,5.689651,9.827579,42
143.mid,143_segment_02.mid,257,264,8,132.413696,136.551624,42
160.mid,160_segment_01.mid,98,105,8,74.615310,80.769150,42
160.mid,160_segment_02.mid,216,223,8,165.384450,171.538290,42
164.mid,164_segment_01.mid,5,12,8,4.102556,12.307668,42
164.mid,164_segment_02.mid,147,154,8,149.743294,157.948406,42
167.mid,167_segment_01.mid,84,91,8,62.250000,68.243441,42
167.mid,167_segment_02.mid,234,241,8,174.532246,180.524750,42
176.mid,176_segment_01.mid,64,71,8,41.538483,46.813211,42
176.mid,176_segment_02.mid,100,107,8,65.274759,70.549487,42
197.mid,197_segment_01.mid,28,35,8,52.682724,68.292420,42
197.mid,197_segment_02.mid,92,99,8,177.560292,193.169988,42
204.mid,204_segment_01.mid,15,22,8,34.285720,53.877560,42
204.mid,204_segment_02.mid,88,95,8,213.061260,232.653100,42
215.mid,215_segment_01.mid,35,42,8,47.812500,59.062500,42
215.mid,215_segment_02.mid,152,159,8,212.343750,223.593750,42
221.mid,221_segment_01.mid,17,24,8,36.125448,53.550498,42
221.mid,221_segment_02.mid,30,37,8,64.459578,81.890431,42
224.mid,224_segment_01.mid,19,26,8,65.619057,95.164964,42
224.mid,224_segment_02.mid,34,41,8,121.011120,150.549584,42
226.mid,226_segment_01.mid,22,29,8,86.791284,119.473892,42
226.mid,226_segment_02.mid,39,46,8,156.469768,189.518508,42
229.mid,229_segment_01.mid,6,13,8,10.714260,27.857076,42
229.mid,229_segment_02.mid,20,27,8,40.714188,57.857004,42
234.mid,234_segment_01.mid,28,35,8,54.000000,70.000000,42
234.mid,234_segment_02.mid,102,109,8,201.791044,217.791044,42
239.mid,239_segment_01.mid,23,30,8,82.462626,112.441011,42
