song_id,segment_id,transformation,parameters,source_file,generated_file
007,01,transpose,"{""random_seed"": 42, ""semitones"": 2}",007_segment_01.json,007_segment_01.json
007,02,transpose,"{""random_seed"": 42, ""semitones"": 2}",007_segment_02.json,007_segment_02.json
026,01,transpose,"{""random_seed"": 42, ""semitones"": 2}",026_segment_01.json,026_segment_01.json
026,02,transpose,"{""random_seed"": 42, ""semitones"": 2}",026_segment_02.json,026_segment_02.json
028,01,transpose,"{""random_seed"": 42, ""semitones"": 2}",028_segment_01.json,028_segment_01.json
028,02,transpose,"{""random_seed"": 42, ""semitones"": 2}",028_segment_02.json,028_segment_02.json
031,01,transpose,"{""random_seed"": 42, ""semitones"": 2}",031_segment_01.json,031_segment_01.json
031,02,transpose,"{""random_seed"": 42, ""semitones"": 2}",031_segment_02.json,031_segment_02.json
033,01,transpose,"{""random_seed"": 42, ""semitones"": 2}",033_segment_01.json,033_segment_01.json
033,02,transpose,"{""random_seed"": 42, ""semitones"": 2}",033_segment_02.json,033_segment_02.json
045,01,transpose,"{""random_seed"": 42, ""semitones"": 2}",045_segment_01.json,045_segment_01.json
045,02,transpose,"{""random_seed"": 42, ""semitones"": 2}",045_segment_02.json,045_segment_02.json
047,01,transpose,"{""random_seed"": 42, ""semitones"": 2}",047_segment_01.json,047_segment_01.json
047,02,transpose,"{""random_seed"": 42, ""semitones"": 2}",047_segment_02.json,047_segment_02.json
072,01,transpose,"{""random_seed"": 42, ""semitones"": 2}",072_segment_01.json,072_segment_01.json
072,02,transpose,"{""random_seed"": 42, ""semitones"": 2}",072_segment_02.json,072_segment_02.json
074,01,transpose,"{""random_seed"": 42, ""semitones"": 2}",074_segment_01.json,074_segment_01.json
074,02,transpose,"{""random_seed"": 42, ""semitones"": 2}",074_segment_02.json,074_segment_02.json
081,01,transpose,"{""random_seed"": 42, ""semitones"": 2}",081_segment_01.json,081_segment_01.json
081,02,transpose,"{""random_seed"": 42, ""semitones"": 2}",081_segment_02.json,081_segment_02.json
082,01,transpose,"{""random_seed"": 42, ""semitones"": 2}",082_segment_01.json,082_segment_01.json
082,02,transpose,"{""random_seed"": 42, ""semitones"": 2}",082_segment_02.json,082_segment_02.json
090,01,transpose,"{""random_seed"": 42, ""semitones"": 2}",090_segment_01.json,090_segment_01.json
090,02,transpose,"{""random_seed"": 42, ""semitones"": 2}",090_segment_02.json,090_segment_02.json
095,01,transpose,"{""random_seed"": 42, ""semitones"": 2}",095_segment_01.json,095_segment_01.json
095,02,transpose,"{""random_seed"": 42, ""semitones"": 2}",095_segment_02.json,095_segment_02.json
096,01,transpose,"{""random_seed"": 42, ""semitones"": 2}",096_segment_01.json,096_segment_01.json
