song_id,segment_id,transformation,parameters,source_file,generated_file
007,01,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",007_segment_01.json,007_segment_01.json
007,02,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",007_segment_02.json,007_segment_02.json
026,01,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",026_segment_01.json,026_segment_01.json
026,02,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",026_segment_02.json,026_segment_02.json
028,01,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",028_segment_01.json,028_segment_01.json
028,02,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",028_segment_02.json,028_segment_02.json
031,01,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",031_segment_01.json,031_segment_01.json
031,02,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",031_segment_02.json,031_segment_02.json
033,01,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",033_segment_01.json,033_segment_01.json
033,02,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",033_segment_02.json,033_segment_02.json
045,01,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",045_segment_01.json,045_segment_01.json
045,02,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",045_segment_02.json,045_segment_02.json
047,01,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",047_segment_01.json,047_segment_01.json
047,02,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",047_segment_02.json,047_segment_02.json
072,01,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",072_segment_01.json,072_segment_01.json
072,02,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",072_segment_02.json,072_segment_02.json
074,01,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",074_segment_01.json,074_segment_01.json
074,02,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",074_segment_02.json,074_segment_02.json
081,01,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",081_segment_01.json,081_segment_01.json
081,02,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",081_segment_02.json,081_segment_02.json
082,01,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",082_segment_01.json,082_segment_01.json
082,02,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",082_segment_02.json,082_segment_02.json
090,01,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",090_segment_01.json,090_segment_01.json
090,02,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",090_segment_02.json,090_segment_02.json
095,01,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",095_segment_01.json,095_segment_01.json
095,02,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",095_segment_02.json,095_segment_02.json
096,01,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",096_segment_01.json,096_segment_01.json
096,02,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",096_segment_02.json,096_segment_02.json
100,01,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",100_segment_01.json,100_segment_01.json
100,02,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",100_segment_02.json,100_segment_02.json
104,01,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",104_segment_01.json,104_segment_01.json
104,02,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",104_segment_02.json,104_segment_02.json
105,01,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",105_segment_01.json,105_segment_01.json
105,02,duration_scaling,"{""duration_factor"": 1.2, ""random_seed"": 42}",105_segment_02.json,105_segment_02.json
