song_id,segment_id,transformation,comparison_type,metric,metric_parameters,value
007,01,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.421053
007,01,chord_substitution,transformed,harmonic_edit_distance,{},0.750000
007,01,chord_substitution,transformed,pitch_class_similarity,{},0.764286
007,01,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
007,01,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
007,01,original_copy,baseline_original,pitch_class_similarity,{},1.000000
007,01,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.542857
007,01,reharmonization,transformed,harmonic_edit_distance,{},0.750000
007,01,reharmonization,transformed,pitch_class_similarity,{},0.750000
007,01,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.687500
007,01,simplification,transformed,harmonic_edit_distance,{},0.892857
007,01,simplification,transformed,pitch_class_similarity,{},0.928571
007,02,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.384615
007,02,chord_substitution,transformed,harmonic_edit_distance,{},0.756757
007,02,chord_substitution,transformed,pitch_class_similarity,{},0.756757
007,02,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
007,02,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
007,02,original_copy,baseline_original,pitch_class_similarity,{},1.000000
007,02,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.565217
007,02,reharmonization,transformed,harmonic_edit_distance,{},0.756757
007,02,reharmonization,transformed,pitch_class_similarity,{},0.762162
007,02,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.894737
007,02,simplification,transformed,harmonic_edit_distance,{},0.972973
007,02,simplification,transformed,pitch_class_similarity,{},0.986486
026,01,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.454545
026,01,chord_substitution,transformed,harmonic_edit_distance,{},0.764706
026,01,chord_substitution,transformed,pitch_class_similarity,{},0.764706
026,01,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
026,01,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
026,01,original_copy,baseline_original,pitch_class_similarity,{},1.000000
026,01,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.523810
026,01,reharmonization,transformed,harmonic_edit_distance,{},0.764706
026,01,reharmonization,transformed,pitch_class_similarity,{},0.764706
026,01,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.882353
026,01,simplification,transformed,harmonic_edit_distance,{},0.941176
026,01,simplification,transformed,pitch_class_similarity,{},0.970588
026,02,chord_substitution,transformed,chord_ngram_similarity,"{""n"": 2}",0.454545
026,02,chord_substitution,transformed,harmonic_edit_distance,{},0.764706
026,02,chord_substitution,transformed,pitch_class_similarity,{},0.796078
026,02,original_copy,baseline_original,chord_ngram_similarity,"{""n"": 2}",1.000000
026,02,original_copy,baseline_original,harmonic_edit_distance,{},1.000000
026,02,original_copy,baseline_original,pitch_class_similarity,{},1.000000
026,02,reharmonization,transformed,chord_ngram_similarity,"{""n"": 2}",0.523810
026,02,reharmonization,transformed,harmonic_edit_distance,{},0.764706
026,02,reharmonization,transformed,pitch_class_similarity,{},0.764706
026,02,simplification,transformed,chord_ngram_similarity,"{""n"": 2}",0.600000
026,02,simplification,transformed,harmonic_edit_distance,{},0.823529
026,02,simplification,transformed,pitch_class_similarity,{},0.901961
