transformation,component_transformed,score_melody,score_harmony,score_rhythm,score_global,observations
melody_harmony_rhythm,Combinações,1.000000,0.645113,0.333333,0.709123,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_harmony,Combinações,1.000000,0.645113,1.000000,0.875789,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
harmony_rhythm,Combinações,1.000000,0.645113,0.333333,0.709123,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.833333,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
chord_substitution,Harmonia,0.000000,0.645113,0.000000,0.225789,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
duration_scaling,Ritmo,0.000000,0.000000,0.073353,0.018338,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
interval_modification,Melodia,0.641308,0.000000,0.000000,0.256523,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
ornamentation,Melodia,0.633013,0.000000,0.000000,0.253205,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
partial_rhythm_modification,Ritmo,0.000000,0.000000,0.067195,0.016799,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
reharmonization,Harmonia,0.000000,0.680952,0.000000,0.238333,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Harmonia,0.000000,0.836309,0.000000,0.292708,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
simplification,Melodia,0.540965,0.000000,0.000000,0.216386,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
tempo_change,Ritmo,0.000000,0.000000,0.333333,0.083333,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
transpose,Melodia,1.000000,0.000000,0.000000,0.400000,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
