pair_id,pair_type,transformation,interval_ngram_similarity,lcs_similarity,edit_distance_similarity,chord_ngram_similarity,harmonic_edit_distance,pitch_class_similarity,rhythm_ngram_similarity,ioi_similarity,rhythmic_edit_distance,score_melody,score_harmony,score_rhythm,score_global,simple_average,weighted_average,comparison_representation,experiment_category
pair_000001,positive,,1.000000,1.000000,1.000000,0.421053,0.750000,0.764286,0.000000,1.000000,0.000000,1.000000,0.645113,0.333333,0.709123,0.659482,0.709123,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/melody_harmony_rhythm/mhr__hcs_strength_0p25__mt_semitones_2__rtc_tempo_factor_0p8/007_segment_01.json,Transformações Combinadas
pair_000002,positive,,1.000000,1.000000,1.000000,0.421053,0.750000,0.764286,1.000000,1.000000,1.000000,1.000000,0.645113,1.000000,0.875789,0.881704,0.875789,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/melody_harmony/mh__hcs_strength_0p25__mt_semitones_2/007_segment_01.json,Transformações Combinadas
pair_000003,positive,,1.000000,1.000000,1.000000,0.421053,0.750000,0.764286,0.000000,1.000000,0.000000,1.000000,0.645113,0.333333,0.709123,0.659482,0.709123,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/harmony_rhythm/hr__hcs_strength_0p25__rtc_tempo_factor_0p8/007_segment_01.json,Transformações Combinadas
pair_000004,positive,,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,0.333333,0.833333,0.777778,0.833333,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/melody_rhythm/mr__mt_semitones_2__rtc_tempo_factor_0p8/007_segment_01.json,Transformações Combinadas
pair_000005,positive,chord_substitution,0.000000,0.000000,0.000000,0.421053,0.750000,0.764286,0.000000,0.000000,0.000000,0.000000,0.645113,0.000000,0.225789,0.215038,0.225789,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/harmony/chord_substitution/random_seed_42__strength_0p25/007_segment_01.json,Transformações Harmônicas
pair_000006,positive,duration_scaling,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.220059,0.000000,0.000000,0.000000,0.073353,0.018338,0.024451,0.018338,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/rhythm/duration_scaling/duration_factor_1p2__random_seed_42/007_segment_01.json,Transformações Rítmicas
pair_000007,positive,interval_modification,0.405405,0.777778,0.740741,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.641308,0.000000,0.000000,0.256523,0.213769,0.256523,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/melody/interval_modification/random_seed_42__strength_0p25/007_segment_01.json,Transformações Melódicas
pair_000008,positive,ornamentation,0.461538,0.718750,0.718750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.633013,0.000000,0.000000,0.253205,0.211004,0.253205,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/melody/ornamentation/density_0p2__random_seed_42/007_segment_01.json,Transformações Melódicas
pair_000009,positive,partial_rhythm_modification,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.201584,0.000000,0.000000,0.000000,0.067195,0.016799,0.022398,0.016799,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/rhythm/partial_rhythm_modification/random_seed_42__strength_0p25/007_segment_01.json,Transformações Rítmicas
pair_000010,positive,reharmonization,0.000000,0.000000,0.000000,0.542857,0.750000,0.750000,0.000000,0.000000,0.000000,0.000000,0.680952,0.000000,0.238333,0.226984,0.238333,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/harmony/reharmonization/random_seed_42__strength_0p25/007_segment_01.json,Transformações Harmônicas
