pair_id,pair_type,transformation,component_transformed,score_melody,score_harmony,score_rhythm,simple_average,weighted_average,score_global,score_gap,transformed_component_score,global_delta,observations
pair_000001,positive,melody_harmony_rhythm,Combinações,1.000000,0.645113,0.333333,0.659482,0.709123,0.709123,0.666667,0.659482,0.049641,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
pair_000002,positive,melody_harmony,Combinações,1.000000,0.645113,1.000000,0.881704,0.875789,0.875789,0.354887,0.881704,-0.005915,"Maior sensibilidade observada em harmonia. Componente transformado: Harmonia, Melodia. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
pair_000003,positive,harmony_rhythm,Combinações,1.000000,0.645113,0.333333,0.659482,0.709123,0.709123,0.666667,0.659482,0.049641,"Maior sensibilidade observada em ritmo. Componente transformado: Harmonia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global permaneceu coerente com o componente transformado."
pair_000004,positive,melody_rhythm,Combinações,1.000000,1.000000,0.333333,0.777778,0.833333,0.833333,0.666667,0.777778,0.055555,"Maior sensibilidade observada em ritmo. Componente transformado: Melodia, Ritmo. Maior estabilidade em melodia. O componente transformado foi capturado pela familia mais sensivel. A métrica global ficou acima do componente transformado."
pair_000005,positive,chord_substitution,Harmonia,0.000000,0.645113,0.000000,0.215038,0.225789,0.225789,0.645113,0.645113,-0.419324,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000006,positive,duration_scaling,Ritmo,0.000000,0.000000,0.073353,0.024451,0.018338,0.018338,0.073353,0.073353,-0.055015,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000007,positive,interval_modification,Melodia,0.641308,0.000000,0.000000,0.213769,0.256523,0.256523,0.641308,0.641308,-0.384785,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000008,positive,ornamentation,Melodia,0.633013,0.000000,0.000000,0.211004,0.253205,0.253205,0.633013,0.633013,-0.379808,Maior sensibilidade observada em harmonia. Componente transformado: Melodia. Maior estabilidade em melodia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000009,positive,partial_rhythm_modification,Ritmo,0.000000,0.000000,0.067195,0.022398,0.016799,0.016799,0.067195,0.067195,-0.050396,Maior sensibilidade observada em melodia. Componente transformado: Ritmo. Maior estabilidade em ritmo. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
pair_000010,positive,reharmonization,Harmonia,0.000000,0.680952,0.000000,0.226984,0.238333,0.238333,0.680952,0.680952,-0.442619,Maior sensibilidade observada em melodia. Componente transformado: Harmonia. Maior estabilidade em harmonia. A familia mais sensivel não coincidiu exatamente com o componente transformado. A métrica global ficou abaixo do componente transformado.
