pair_id,pair_type,original_song_id,original_segment_id,comparison_song_id,comparison_segment_id,transformation,original_representation,comparison_representation
pair_000001,positive,007,01,007,01,,data/processed/representations/007_segment_01.json,data/processed/transformations/combined/melody_harmony_rhythm/mhr__hcs_strength_0p25__mt_semitones_2__rtc_tempo_factor_0p8/007_segment_01.json
pair_000002,positive,007,01,007,01,,data/processed/representations/007_segment_01.json,data/processed/transformations/combined/melody_harmony/mh__hcs_strength_0p25__mt_semitones_2/007_segment_01.json
pair_000003,positive,007,01,007,01,,data/processed/representations/007_segment_01.json,data/processed/transformations/combined/harmony_rhythm/hr__hcs_strength_0p25__rtc_tempo_factor_0p8/007_segment_01.json
pair_000004,positive,007,01,007,01,,data/processed/representations/007_segment_01.json,data/processed/transformations/combined/melody_rhythm/mr__mt_semitones_2__rtc_tempo_factor_0p8/007_segment_01.json
pair_000005,positive,007,01,007,01,chord_substitution,data/processed/representations/007_segment_01.json,data/processed/transformations/harmony/chord_substitution/random_seed_42__strength_0p25/007_segment_01.json
pair_000006,positive,007,01,007,01,duration_scaling,data/processed/representations/007_segment_01.json,data/processed/transformations/rhythm/duration_scaling/duration_factor_1p2__random_seed_42/007_segment_01.json
pair_000007,positive,007,01,007,01,interval_modification,data/processed/representations/007_segment_01.json,data/processed/transformations/melody/interval_modification/random_seed_42__strength_0p25/007_segment_01.json
pair_000008,positive,007,01,007,01,ornamentation,data/processed/representations/007_segment_01.json,data/processed/transformations/melody/ornamentation/density_0p2__random_seed_42/007_segment_01.json
pair_000009,positive,007,01,007,01,partial_rhythm_modification,data/processed/representations/007_segment_01.json,data/processed/transformations/rhythm/partial_rhythm_modification/random_seed_42__strength_0p25/007_segment_01.json
pair_000010,positive,007,01,007,01,reharmonization,data/processed/representations/007_segment_01.json,data/processed/transformations/harmony/reharmonization/random_seed_42__strength_0p25/007_segment_01.json
pair_000011,positive,007,01,007,01,simplification,data/processed/representations/007_segment_01.json,data/processed/transformations/harmony/simplification/random_seed_42__strength_0p25/007_segment_01.json
pair_000012,positive,007,01,007,01,simplification,data/processed/representations/007_segment_01.json,data/processed/transformations/melody/simplification/random_seed_42__strength_0p25/007_segment_01.json
pair_000013,positive,007,01,007,01,tempo_change,data/processed/representations/007_segment_01.json,data/processed/transformations/rhythm/tempo_change/random_seed_42__tempo_factor_0p8/007_segment_01.json
pair_000014,positive,007,01,007,01,transpose,data/processed/representations/007_segment_01.json,data/processed/transformations/melody/transpose/random_seed_42__semitones_2/007_segment_01.json
pair_000015,positive,007,02,007,02,,data/processed/representations/007_segment_02.json,data/processed/transformations/combined/melody_harmony_rhythm/mhr__hcs_strength_0p25__mt_semitones_2__rtc_tempo_factor_0p8/007_segment_02.json
pair_000016,positive,007,02,007,02,,data/processed/representations/007_segment_02.json,data/processed/transformations/combined/melody_harmony/mh__hcs_strength_0p25__mt_semitones_2/007_segment_02.json
pair_000017,positive,007,02,007,02,,data/processed/representations/007_segment_02.json,data/processed/transformations/combined/harmony_rhythm/hr__hcs_strength_0p25__rtc_tempo_factor_0p8/007_segment_02.json
pair_000018,positive,007,02,007,02,,data/processed/representations/007_segment_02.json,data/processed/transformations/combined/melody_rhythm/mr__mt_semitones_2__rtc_tempo_factor_0p8/007_segment_02.json
pair_000019,positive,007,02,007,02,chord_substitution,data/processed/representations/007_segment_02.json,data/processed/transformations/harmony/chord_substitution/random_seed_42__strength_0p25/007_segment_02.json
pair_000020,positive,007,02,007,02,duration_scaling,data/processed/representations/007_segment_02.json,data/processed/transformations/rhythm/duration_scaling/duration_factor_1p2__random_seed_42/007_segment_02.json
pair_000021,positive,007,02,007,02,interval_modification,data/processed/representations/007_segment_02.json,data/processed/transformations/melody/interval_modification/random_seed_42__strength_0p25/007_segment_02.json
pair_000022,positive,007,02,007,02,ornamentation,data/processed/representations/007_segment_02.json,data/processed/transformations/melody/ornamentation/density_0p2__random_seed_42/007_segment_02.json
pair_000023,positive,007,02,007,02,partial_rhythm_modification,data/processed/representations/007_segment_02.json,data/processed/transformations/rhythm/partial_rhythm_modification/random_seed_42__strength_0p25/007_segment_02.json
pair_000024,positive,007,02,007,02,reharmonization,data/processed/representations/007_segment_02.json,data/processed/transformations/harmony/reharmonization/random_seed_42__strength_0p25/007_segment_02.json
pair_000025,positive,007,02,007,02,simplification,data/processed/representations/007_segment_02.json,data/processed/transformations/harmony/simplification/random_seed_42__strength_0p25/007_segment_02.json
pair_000026,positive,007,02,007,02,simplification,data/processed/representations/007_segment_02.json,data/processed/transformations/melody/simplification/random_seed_42__strength_0p25/007_segment_02.json
pair_000027,positive,007,02,007,02,tempo_change,data/processed/representations/007_segment_02.json,data/processed/transformations/rhythm/tempo_change/random_seed_42__tempo_factor_0p8/007_segment_02.json
pair_000028,positive,007,02,007,02,transpose,data/processed/representations/007_segment_02.json,data/processed/transformations/melody/transpose/random_seed_42__semitones_2/007_segment_02.json
pair_000029,positive,026,01,026,01,,data/processed/representations/026_segment_01.json,data/processed/transformations/combined/melody_harmony_rhythm/mhr__hcs_strength_0p25__mt_semitones_2__rtc_tempo_factor_0p8/026_segment_01.json
pair_000030,positive,026,01,026,01,,data/processed/representations/026_segment_01.json,data/processed/transformations/combined/melody_harmony/mh__hcs_strength_0p25__mt_semitones_2/026_segment_01.json
pair_000031,positive,026,01,026,01,,data/processed/representations/026_segment_01.json,data/processed/transformations/combined/harmony_rhythm/hr__hcs_strength_0p25__rtc_tempo_factor_0p8/026_segment_01.json
pair_000032,positive,026,01,026,01,,data/processed/representations/026_segment_01.json,data/processed/transformations/combined/melody_rhythm/mr__mt_semitones_2__rtc_tempo_factor_0p8/026_segment_01.json
pair_000033,positive,026,01,026,01,chord_substitution,data/processed/representations/026_segment_01.json,data/processed/transformations/harmony/chord_substitution/random_seed_42__strength_0p25/026_segment_01.json
pair_000034,positive,026,01,026,01,duration_scaling,data/processed/representations/026_segment_01.json,data/processed/transformations/rhythm/duration_scaling/duration_factor_1p2__random_seed_42/026_segment_01.json
pair_000035,positive,026,01,026,01,interval_modification,data/processed/representations/026_segment_01.json,data/processed/transformations/melody/interval_modification/random_seed_42__strength_0p25/026_segment_01.json
pair_000036,positive,026,01,026,01,ornamentation,data/processed/representations/026_segment_01.json,data/processed/transformations/melody/ornamentation/density_0p2__random_seed_42/026_segment_01.json
pair_000037,positive,026,01,026,01,partial_rhythm_modification,data/processed/representations/026_segment_01.json,data/processed/transformations/rhythm/partial_rhythm_modification/random_seed_42__strength_0p25/026_segment_01.json
pair_000038,positive,026,01,026,01,reharmonization,data/processed/representations/026_segment_01.json,data/processed/transformations/harmony/reharmonization/random_seed_42__strength_0p25/026_segment_01.json
pair_000039,positive,026,01,026,01,simplification,data/processed/representations/026_segment_01.json,data/processed/transformations/harmony/simplification/random_seed_42__strength_0p25/026_segment_01.json
pair_000040,positive,026,01,026,01,simplification,data/processed/representations/026_segment_01.json,data/processed/transformations/melody/simplification/random_seed_42__strength_0p25/026_segment_01.json
pair_000041,positive,026,01,026,01,tempo_change,data/processed/representations/026_segment_01.json,data/processed/transformations/rhythm/tempo_change/random_seed_42__tempo_factor_0p8/026_segment_01.json
