name,description,category,png_file,svg_file
distribution_interval_ngram_similarity,Distribuicao da metrica Interval N-Gram Similarity por tipo de par.,distributions,data/results/figures/distributions/distribution_interval_ngram_similarity.png,data/results/figures/distributions/distribution_interval_ngram_similarity.svg
distribution_lcs_similarity,Distribuicao da metrica LCS por tipo de par.,distributions,data/results/figures/distributions/distribution_lcs_similarity.png,data/results/figures/distributions/distribution_lcs_similarity.svg
distribution_edit_distance_similarity,Distribuicao da metrica Edit Distance por tipo de par.,distributions,data/results/figures/distributions/distribution_edit_distance_similarity.png,data/results/figures/distributions/distribution_edit_distance_similarity.svg
distribution_chord_ngram_similarity,Distribuicao da metrica Chord N-Gram Similarity por tipo de par.,distributions,data/results/figures/distributions/distribution_chord_ngram_similarity.png,data/results/figures/distributions/distribution_chord_ngram_similarity.svg
distribution_harmonic_edit_distance,Distribuicao da metrica Harmonic Edit Distance por tipo de par.,distributions,data/results/figures/distributions/distribution_harmonic_edit_distance.png,data/results/figures/distributions/distribution_harmonic_edit_distance.svg
distribution_pitch_class_similarity,Distribuicao da metrica Pitch Class Similarity por tipo de par.,distributions,data/results/figures/distributions/distribution_pitch_class_similarity.png,data/results/figures/distributions/distribution_pitch_class_similarity.svg
distribution_rhythm_ngram_similarity,Distribuicao da metrica Rhythm N-Gram Similarity por tipo de par.,distributions,data/results/figures/distributions/distribution_rhythm_ngram_similarity.png,data/results/figures/distributions/distribution_rhythm_ngram_similarity.svg
distribution_ioi_similarity,Distribuicao da metrica IOI Similarity por tipo de par.,distributions,data/results/figures/distributions/distribution_ioi_similarity.png,data/results/figures/distributions/distribution_ioi_similarity.svg
distribution_rhythmic_edit_distance,Distribuicao da metrica Rhythmic Edit Distance por tipo de par.,distributions,data/results/figures/distributions/distribution_rhythmic_edit_distance.png,data/results/figures/distributions/distribution_rhythmic_edit_distance.svg
distribution_score_global,Distribuicao da metrica Métrica Global por tipo de par.,distributions,data/results/figures/distributions/distribution_score_global.png,data/results/figures/distributions/distribution_score_global.svg
comparison_metric_families,"Comparacao entre os scores agregados de melodia, harmonia e ritmo.",comparisons,data/results/figures/comparisons/comparison_metric_families.png,data/results/figures/comparisons/comparison_metric_families.svg
comparison_individual_vs_global,Comparacao das metricas individuais com a metrica global.,comparisons,data/results/figures/comparisons/comparison_individual_vs_global.png,data/results/figures/comparisons/comparison_individual_vs_global.svg
comparison_global_by_experiment,Comparacao do score global medio por tipo de transformacao.,comparisons,data/results/figures/comparisons/comparison_global_by_experiment.png,data/results/figures/comparisons/comparison_global_by_experiment.svg
heatmap_metric_correlation,Heatmap de correlacao entre todas as metricas de similaridade.,heatmaps,data/results/figures/heatmaps/heatmap_metric_correlation.png,data/results/figures/heatmaps/heatmap_metric_correlation.svg
heatmap_performance_by_transformation,Heatmap do desempenho medio por tipo de transformacao.,heatmaps,data/results/figures/heatmaps/heatmap_performance_by_transformation.png,data/results/figures/heatmaps/heatmap_performance_by_transformation.svg
heatmap_performance_by_component,Heatmap do desempenho medio por componente musical transformado.,heatmaps,data/results/figures/heatmaps/heatmap_performance_by_component.png,data/results/figures/heatmaps/heatmap_performance_by_component.svg
boxplot_all_metrics,Boxplots de todas as metricas individuais e da metrica global.,boxplots,data/results/figures/boxplots/boxplot_all_metrics.png,data/results/figures/boxplots/boxplot_all_metrics.svg
boxplot_global_by_transformation,Boxplot do score global por tipo de transformacao.,boxplots,data/results/figures/boxplots/boxplot_global_by_transformation.png,data/results/figures/boxplots/boxplot_global_by_transformation.svg
boxplot_global_by_pair_type,Boxplot do score global comparando pares positivos e negativos.,boxplots,data/results/figures/boxplots/boxplot_global_by_pair_type.png,data/results/figures/boxplots/boxplot_global_by_pair_type.svg
boxplot_global_by_transformation_name,Boxplot do score global por transformacao especifica.,boxplots,data/results/figures/boxplots/boxplot_global_by_transformation_name.png,data/results/figures/boxplots/boxplot_global_by_transformation_name.svg
